config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
sasrec-128-3-4-0.3-0.001.yaml,128,3,4,0.3,0.001,42,0.02303,0.04534,10,0.01011,0.02187,10,"(128, 3, 4, 0.3, 0.001)",[42]
sasrec-128-3-4-0.3-0.0001.yaml,128,3,4,0.3,0.0001,42,0.02295,0.04445,62,0.01011,0.02104,62,"(128, 3, 4, 0.3, 0.0001)",[42]
sasrec-256-1-2-0.3-0.0001.yaml,256,1,2,0.3,0.0001,42,0.02287,0.04638,45,0.0101,0.02128,45,"(256, 1, 2, 0.3, 0.0001)",[42]
sasrec-64-3-8-0.1-0.0005.yaml,64,3,8,0.1,0.0005,42,0.02264,0.04385,14,0.0101,0.01956,14,"(64, 3, 8, 0.1, 0.0005)",[42]
sasrec-128-3-8-0.2-0.001.yaml,128,3,8,0.2,0.001,42,0.02322,0.04623,6,0.0101,0.02098,6,"(128, 3, 8, 0.2, 0.001)",[42]
sasrec-128-3-2-0.2-0.001.yaml,128,3,2,0.2,0.001,42,0.02309,0.04727,6,0.0101,0.02104,6,"(128, 3, 2, 0.2, 0.001)",[42]
sasrec-128-3-8-0.3-0.0001.yaml,128,3,8,0.3,0.0001,42,0.02308,0.04475,63,0.0101,0.02086,63,"(128, 3, 8, 0.3, 0.0001)",[42]
sasrec-64-4-2-0.1-0.001.yaml,64,4,2,0.1,0.001,42,0.02218,0.04341,9,0.01009,0.02015,9,"(64, 4, 2, 0.1, 0.001)",[42]
64-4-4-0.2-0.001-1.yaml,64,4,4,0.2,0.001,1,0.02273,0.04296,10,0.01009,0.02027,10,"(64, 4, 4, 0.2, 0.001)","[42, 1, 256]"
64-2-2-0.2-0.0005-1.yaml,64,2,2,0.2,0.0005,1,0.02175,0.04296,18,0.01008,0.02051,18,"(64, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-128-2-2-0.1-0.001.yaml,128,2,2,0.1,0.001,42,0.02305,0.04757,6,0.01008,0.02057,6,"(128, 2, 2, 0.1, 0.001)",[42]
64-4-4-0.2-0.001-256.yaml,64,4,4,0.2,0.001,256,0.02298,0.04593,10,0.01008,0.02063,10,"(64, 4, 4, 0.2, 0.001)","[42, 1, 256]"
sasrec-256-4-8-0.2-0.0001.yaml,256,4,8,0.2,0.0001,42,0.02431,0.04772,38,0.01008,0.02122,38,"(256, 4, 8, 0.2, 0.0001)",[42]
sasrec-64-3-8-0.2-0.001.yaml,64,3,8,0.2,0.001,42,0.02217,0.0437,11,0.01006,0.02116,11,"(64, 3, 8, 0.2, 0.001)",[42]
sasrec-128-2-8-0.2-0.0005.yaml,128,2,8,0.2,0.0005,42,0.0231,0.04593,10,0.01006,0.02045,10,"(128, 2, 8, 0.2, 0.0005)",[42]
sasrec-128-4-4-0.3-0.0005.yaml,128,4,4,0.3,0.0005,42,0.02509,0.05054,13,0.01006,0.02086,13,"(128, 4, 4, 0.3, 0.0005)","[42, 1]"
sasrec-256-1-2-0.3-0.005.yaml,256,1,2,0.3,0.005,42,0.02383,0.03895,20,0.01006,0.01813,20,"(256, 1, 2, 0.3, 0.005)",[42]
sasrec-64-4-4-0.2-0.001.yaml,64,4,4,0.2,0.001,42,0.02203,0.04266,10,0.01005,0.02086,10,"(64, 4, 4, 0.2, 0.001)","[42, 1, 256]"
128-2-4-0.2-0.001-1.yaml,128,2,4,0.2,0.001,1,0.02262,0.0446,5,0.01005,0.02051,5,"(128, 2, 4, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-1-2-0.2-0.0001.yaml,128,1,2,0.2,0.0001,42,0.02263,0.04519,62,0.01005,0.02092,62,"(128, 1, 2, 0.2, 0.0001)",[42]
sasrec-256-3-8-0.1-0.0001.yaml,256,3,8,0.1,0.0001,42,0.02381,0.04593,38,0.01005,0.0211,38,"(256, 3, 8, 0.1, 0.0001)",[42]
sasrec-256-4-2-0.1-0.0005.yaml,256,4,2,0.1,0.0005,42,0.0238,0.04593,9,0.01003,0.02098,9,"(256, 4, 2, 0.1, 0.0005)",[42]
sasrec-128-2-4-0.2-0.0001.yaml,128,2,4,0.2,0.0001,42,0.0225,0.04385,73,0.01003,0.02092,73,"(128, 2, 4, 0.2, 0.0001)",[42]
sasrec-64-2-4-0.2-0.001.yaml,64,2,4,0.2,0.001,42,0.02356,0.04712,10,0.01003,0.02027,10,"(64, 2, 4, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-2-4-0.1-0.001.yaml,128,2,4,0.1,0.001,42,0.02343,0.04772,6,0.01002,0.0208,6,"(128, 2, 4, 0.1, 0.001)",[42]
sasrec-64-2-4-0.3-0.001.yaml,64,2,4,0.3,0.001,42,0.02349,0.04712,10,0.01002,0.01997,10,"(64, 2, 4, 0.3, 0.001)","[42, 1]"
sasrec-256-4-4-0.1-0.001.yaml,256,4,4,0.1,0.001,42,0.02237,0.04311,6,0.01002,0.02057,6,"(256, 4, 4, 0.1, 0.001)",[42]
sasrec-128-1-2-0.2-0.0005.yaml,128,1,2,0.2,0.0005,42,0.02211,0.04475,11,0.01002,0.02063,11,"(128, 1, 2, 0.2, 0.0005)",[42]
64-4-2-0.3-0.0005-1.yaml,64,4,2,0.3,0.0005,1,0.02411,0.04623,20,0.01002,0.02015,20,"(64, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-128-1-2-0.1-0.0001.yaml,128,1,2,0.1,0.0001,42,0.02221,0.04385,60,0.01002,0.02146,60,"(128, 1, 2, 0.1, 0.0001)",[42]
256-4-4-0.2-0.0005-256.yaml,256,4,4,0.2,0.0005,256,0.02333,0.04816,8,0.01001,0.02092,8,"(256, 4, 4, 0.2, 0.0005)","[42, 1, 256]"
sasrec-128-3-4-0.1-0.0005.yaml,128,3,4,0.1,0.0005,42,0.02369,0.04712,10,0.01001,0.02033,10,"(128, 3, 4, 0.1, 0.0005)",[42]
sasrec-128-2-4-0.1-0.0005.yaml,128,2,4,0.1,0.0005,42,0.02203,0.04252,18,0.01,0.02098,18,"(128, 2, 4, 0.1, 0.0005)",[42]
sasrec-64-2-8-0.2-0.001.yaml,64,2,8,0.2,0.001,42,0.02394,0.04683,9,0.01,0.02051,9,"(64, 2, 8, 0.2, 0.001)",[42]
sasrec-64-3-2-0.1-0.0005.yaml,64,3,2,0.1,0.0005,42,0.02201,0.04252,16,0.01,0.01956,16,"(64, 3, 2, 0.1, 0.0005)",[42]
