config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
64-4-4-0.3-0.00075-42.yaml,64,4,4,0.3,0.00075,42,0.09876,0.18297,12,0.05878,0.11349,12,"(64, 4, 4, 0.3, 0.00075)",[42]
64-2-8-0.3-0.00075-42.yaml,64,2,8,0.3,0.00075,42,0.09776,0.1828,8,0.05877,0.11238,8,"(64, 2, 8, 0.3, 0.00075)",[42]
64-4-4-0.2-0.001-42.yaml,64,4,4,0.2,0.001,42,0.09961,0.18498,6,0.05876,0.11414,6,"(64, 4, 4, 0.2, 0.001)",[42]
64-2-4-0.3-0.001-42.yaml,64,2,4,0.3,0.001,42,0.09781,0.18367,8,0.05854,0.11301,8,"(64, 2, 4, 0.3, 0.001)",[42]
64-4-8-0.2-0.001-42.yaml,64,4,8,0.2,0.001,42,0.09919,0.18454,6,0.05853,0.11387,6,"(64, 4, 8, 0.2, 0.001)",[42]
64-2-8-0.2-0.00075-42.yaml,64,2,8,0.2,0.00075,42,0.09802,0.18411,8,0.05845,0.11291,8,"(64, 2, 8, 0.2, 0.00075)",[42]
64-4-2-0.3-0.0005-42.yaml,64,4,2,0.3,0.0005,42,0.09958,0.18487,15,0.05844,0.11383,15,"(64, 4, 2, 0.3, 0.0005)",[42]
64-2-2-0.2-0.00075-42.yaml,64,2,2,0.2,0.00075,42,0.09773,0.18302,8,0.05842,0.11272,8,"(64, 2, 2, 0.2, 0.00075)",[42]
64-2-2-0.2-0.0005-42.yaml,64,2,2,0.2,0.0005,42,0.09715,0.18204,9,0.05831,0.11416,9,"(64, 2, 2, 0.2, 0.0005)",[42]
64-4-8-0.2-0.00075-42.yaml,64,4,8,0.2,0.00075,42,0.0982,0.18204,6,0.05829,0.1128,6,"(64, 4, 8, 0.2, 0.00075)",[42]
64-2-2-0.3-0.00075-42.yaml,64,2,2,0.3,0.00075,42,0.09725,0.18215,9,0.05823,0.11366,9,"(64, 2, 2, 0.3, 0.00075)",[42]
64-4-4-0.2-0.0005-42.yaml,64,4,4,0.2,0.0005,42,0.09871,0.18345,10,0.0581,0.11309,10,"(64, 4, 4, 0.2, 0.0005)",[42]
64-2-8-0.2-0.001-42.yaml,64,2,8,0.2,0.001,42,0.09776,0.18133,5,0.05807,0.1123,5,"(64, 2, 8, 0.2, 0.001)",[42]
128-4-8-0.3-0.00075-42.yaml,128,4,8,0.3,0.00075,42,0.09787,0.18215,6,0.05807,0.11159,6,"(128, 4, 8, 0.3, 0.00075)",[42]
128-4-4-0.2-0.0005-42.yaml,128,4,4,0.2,0.0005,42,0.09828,0.18302,6,0.05805,0.11305,6,"(128, 4, 4, 0.2, 0.0005)",[42]
64-2-4-0.2-0.001-42.yaml,64,2,4,0.2,0.001,42,0.09743,0.18215,5,0.05805,0.11167,5,"(64, 2, 4, 0.2, 0.001)",[42]
64-2-8-0.3-0.0005-42.yaml,64,2,8,0.3,0.0005,42,0.09796,0.18237,12,0.05798,0.11238,12,"(64, 2, 8, 0.3, 0.0005)",[42]
128-4-4-0.3-0.0005-42.yaml,128,4,4,0.3,0.0005,42,0.09776,0.18297,7,0.05796,0.11374,7,"(128, 4, 4, 0.3, 0.0005)",[42]
128-4-8-0.3-0.001-42.yaml,128,4,8,0.3,0.001,42,0.09785,0.1822,9,0.05795,0.11215,9,"(128, 4, 8, 0.3, 0.001)",[42]
