config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
256-2-4-0.2-0.001-256.yaml,256,2,4,0.2,0.001,256,0.16984,0.27157,94,0.04322,0.07552,94,"(256, 2, 4, 0.2, 0.001)","[42, 1, 256]"
256-2-8-0.2-0.00075-256.yaml,256,2,8,0.2,0.00075,256,0.16963,0.27246,96,0.04022,0.0697,96,"(256, 2, 8, 0.2, 0.00075)","[42, 1, 256]"
256-2-4-0.2-0.001-1.yaml,256,2,4,0.2,0.001,1,0.16952,0.27046,96,0.03867,0.06907,96,"(256, 2, 4, 0.2, 0.001)","[42, 1, 256]"
256-2-8-0.2-0.00075-1.yaml,256,2,8,0.2,0.00075,1,0.16939,0.27108,98,0.03808,0.06794,98,"(256, 2, 8, 0.2, 0.00075)","[42, 1, 256]"
256-4-2-0.3-0.0005-1.yaml,256,4,2,0.3,0.0005,1,0.16926,0.27603,92,0.03741,0.067,92,"(256, 4, 2, 0.3, 0.0005)","[42, 256, 1]"
256-4-4-0.2-0.00075-42.yaml,256,4,4,0.2,0.00075,42,0.16923,0.27246,99,0.05034,0.08566,99,"(256, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
256-2-4-0.2-0.00075-256.yaml,256,2,4,0.2,0.00075,256,0.16901,0.27175,94,0.03981,0.06916,94,"(256, 2, 4, 0.2, 0.00075)","[42, 1, 256]"
256-2-8-0.2-0.0005-1.yaml,256,2,8,0.2,0.0005,1,0.16898,0.27139,99,0.04029,0.07054,99,"(256, 2, 8, 0.2, 0.0005)","[42, 1, 256]"
256-2-2-0.2-0.001-1.yaml,256,2,2,0.2,0.001,1,0.16889,0.27139,95,0.03802,0.06713,95,"(256, 2, 2, 0.2, 0.001)","[42, 1, 256]"
256-2-8-0.2-0.0005-42.yaml,256,2,8,0.2,0.0005,42,0.16871,0.27327,99,0.03718,0.06641,99,"(256, 2, 8, 0.2, 0.0005)","[42, 1, 256]"
